State,Total_Users
andaman-&-nicobar-islands,6740
andhra-pradesh,3336450
arunachal-pradesh,21495
assam,385237
bihar,2133804
chandigarh,86268
chhattisgarh,679263
dadra-&-nagar-haveli-&-daman-&-diu,53258
delhi,2087022
goa,91936
gujarat,2690048
haryana,1847357
himachal-pradesh,227373
jammu-&-kashmir,176425
jharkhand,885762
karnataka,3717763
kerala,784184
ladakh,8784
lakshadweep,501
madhya-pradesh,2553603
maharashtra,6106994
manipur,29925
meghalaya,18513
mizoram,7593
nagaland,15074
odisha,1594015
puducherry,49318
punjab,847142
rajasthan,3158202
sikkim,20051
tamil-nadu,2104754
telangana,3315560
tripura,55157
uttar-pradesh,4694250
uttarakhand,483043
west-bengal,2604789
